C_Address,C_Descrip,C_Date,C_Day of month,C_Hour,lat,lon
3108 OCCIDENTAL DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:00,1,0,38.55042047,-121.3914158
2082 EXPEDITION WAY, PC  BURGLARY RESIDENCE,1/1/2006 0:00,1,0,38.47350069,-121.4901858
4 PALEN CT,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:00,1,0,38.65784584,-121.4621009
22 BECKFORD CT, PC PASS FICTICIOUS CHECK,1/1/2006 0:00,1,0,38.50677377,-121.4269508
3421 AUBURN BLVD, PC  BURGLARY-UNSPECIFIED,1/1/2006 0:00,1,0,38.6374478,-121.3846125
5301 BONNIEMAE WAY, PC USE PERSONAL ID INFO,1/1/2006 0:00,1,0,38.52697863,-121.4513383
2217 16TH AVE, PC  BURGLARY VEHICLE,1/1/2006 0:00,1,0,38.537173,-121.4875774
3547 P ST, PC   PETTY THEFT/INSIDE,1/1/2006 0:00,1,0,38.56433456,-121.4618826
3421 AUBURN BLVD, PC  BURGLARY BUSINESS,1/1/2006 0:00,1,0,38.6374478,-121.3846125
1326 HELMSMAN WAY, US   THEFT OF MAIL,1/1/2006 0:00,1,0,38.60960217,-121.4918375
2315 STOCKTON BLVD,ASSAULT WITH WEAPON - I RPT,1/1/2006 0:00,1,0,38.55426406,-121.4546045
5112 63RD ST, PC USE PERSONAL ID INFO,1/1/2006 0:00,1,0,38.52816497,-121.4314528
6351 DRIFTWOOD ST,SUSP PERS-NO CRIME - I RPT,1/1/2006 0:00,1,0,38.51092155,-121.5488201
7721 COLLEGE TOWN DR, PC USE PERSONAL ID INFO,1/1/2006 0:00,1,0,38.55611545,-121.4142729
8460 ROVANA CIR,G(B) PC ACCESS CARD FRAUD,1/1/2006 0:00,1,0,38.50398051,-121.3923987
4856 11TH AVE,(A) PC GRAND THEFT,1/1/2006 0:00,1,0,38.54152896,-121.4495097
6033 69TH ST,TELEPEST -I RPT,1/1/2006 0:00,1,0,38.51657327,-121.4234749
547 L ST,(A) GRAND THEFT-INSIDE,1/1/2006 0:00,1,0,38.58184562,-121.5011657
3525 42ND ST, PC USE PERSONAL ID INFO,1/1/2006 0:00,1,0,38.54270763,-121.4572067
5641 DORSET WAY,J PC PUBLISH CARD INFO,1/1/2006 0:00,1,0,38.52459987,-121.5203609
5551 REXLEIGH CT, PC  BURGLARY VEHICLE,1/1/2006 0:01,1,0,38.44659211,-121.4423777
1896 ARDEN WAY,G(B) PC ACCESS CARD FRAUD,1/1/2006 0:01,1,0,38.59664183,-121.423349
6168 RIVERSIDE BLVD, PC PETTY THEFT,1/1/2006 0:01,1,0,38.51512387,-121.5291027
415 SEXTANT WAY, PC  BURGLARY VEHICLE,1/1/2006 0:01,1,0,38.65660112,-121.4560449
15 BASIN CT,TRAFFIC - I RPT,1/1/2006 0:01,1,0,38.44281523,-121.4095243
3340 62ND ST,(B)()PC  VANDALISM +$,1/1/2006 0:01,1,0,38.5438039,-121.4332827
4280 DEER HILL DR,G(B) PC ACCESS CARD FRAUD,1/1/2006 0:01,1,0,38.47121906,-121.4547389
2814 5TH ST, PC  PETTY THEFT/ OUTSIDE,1/1/2006 0:01,1,0,38.5564521,-121.5123309
1816 FLORIN RD,HARASSMENT - I RPT,1/1/2006 0:01,1,0,38.49535335,-121.4965602
1260 BELL AVE, PC PETTY THEFT,1/1/2006 0:01,1,0,38.64717373,-121.4375169
7676 BRIDGEVIEW DR,LOST PROPERTY - I RPT,1/1/2006 0:01,1,0,38.47889498,-121.5354477
3816 CYPRESS ST, PC  BURGLARY RESIDENCE,1/1/2006 0:01,1,0,38.63734742,-121.444642
1211 23RD ST,G(A)PC USE FORGED CARD,1/1/2006 0:01,1,0,38.57289613,-121.4767958
7001 EAST PKWY, PC   EMBEZZLEMENT,1/1/2006 0:01,1,0,38.51436734,-121.3854286
918 LAKE FRONT DR,TELEPEST -I RPT,1/1/2006 0:01,1,0,38.47948616,-121.5215057
4851 KOKOMO DR,(A) GRAND THEFT-INSIDE,1/1/2006 0:01,1,0,38.65994218,-121.5259008
2377 OAK HARBOUR DR,M(A) PC OBSCENE/THREAT CALL,1/1/2006 0:01,1,0,38.60893745,-121.5187927
1823 P ST, PETTY THEFT/LICENSE PLATE,1/1/2006 0:01,1,0,38.57084621,-121.484429
1100 14TH ST,FOUND PROPERTY - I RPT,1/1/2006 0:01,1,0,38.57815667,-121.4876958
3301 ARENA BLVD, PC USE PERSONAL ID INFO,1/1/2006 0:01,1,0,38.64378844,-121.5341593
1088 PREGO WAY, PC USE PERSONAL ID INFO,1/1/2006 0:01,1,0,38.62798948,-121.4857344
3259 SPINNING ROD WAY,J PC PUBLISH CARD INFO,1/1/2006 0:01,1,0,38.61153542,-121.5370613
1010 J ST,THREATS - I RPT,1/1/2006 0:01,1,0,38.57999251,-121.4930384
400 BANNON ST, PC FALSE PERS REC PROP,1/1/2006 0:01,1,0,38.59540732,-121.4978798
6115 63RD ST, PC SHOOT OCCUP DWELL/VEH,1/1/2006 0:10,1,0,38.51526387,-121.4296507
47 FIRE LEAF CT,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:15,1,0,38.65737252,-121.4577585
5140 61ST ST,SHOOT INTO OCCUP DWELL - I RPT,1/1/2006 0:18,1,0,38.52799185,-121.434789
1814 19TH ST,FOUND PROPERTY - I RPT,1/1/2006 0:19,1,0,38.56796664,-121.4852542
6940 27TH ST,(E) BATTERY NONCOHAB SPOUS,1/1/2006 0:24,1,0,38.50009398,-121.4776262
3820 65TH ST,MISCELLANEOUS I RPT (ZMISC),1/1/2006 0:25,1,0,38.54138742,-121.4282497
2829 FLORIN RD,TOWED/STORED VEH-,1/1/2006 0:27,1,0,38.49609085,-121.4740915
1080 APPOLLO WAY,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:30,1,0,38.52973955,-121.5195294
6571 WEATHERFORD WAY,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:30,1,0,38.46637324,-121.4265274
930 43RD AVE,(A)VC TAKE VEH W/O OWNER,1/1/2006 0:30,1,0,38.51538948,-121.5255605
2830 E ST, PC ROBBERY- BUSINESS,1/1/2006 0:31,1,0,38.57905906,-121.4661967
NORTHGATE BLVD / W SILVER EAGLE RD,CASUALTY REPORT,1/1/2006 0:36,1,0,38.63036289,-121.4755269
6665 STOCKTON BLVD, PC  BURGLARY BUSINESS,1/1/2006 0:36,1,0,38.50632179,-121.4333041
7811 DEER MEADOW DR, PC SHOOT OCCUP DWELL/VEH,1/1/2006 0:39,1,0,38.47400047,-121.4581933
3RD ST / O ST,(A) VC DUI-ALCOHOL/DRUGS,1/1/2006 0:40,1,0,38.57724403,-121.5051437
27TH ST / J ST,TRAFFIC-ACCIDENT INJURY,1/1/2006 0:46,1,0,38.57419952,-121.470553
8TH ST / L ST,DUI I RPT,1/1/2006 0:55,1,0,38.57881567,-121.4970836
7850 COLLEGE TOWN DR, PETTY THEFT/LICENSE PLATE,1/1/2006 1:00,1,1,38.55456463,-121.4106138
63RD ST / JANSEN DR,(A) VC DUI-ALCOHOL/DRUGS,1/1/2006 1:00,1,1,38.52199211,-121.4309007
11 ALCANON CT, PC  BURGLARY VEHICLE,1/1/2006 1:00,1,1,38.62453557,-121.5264198
TRUXEL RD / SAGINAW CIR,(A)VC TAKE VEH W/O OWNER,1/1/2006 1:00,1,1,38.62504428,-121.4978986
2600 N ST, PC  BURGLARY VEHICLE,1/1/2006 1:00,1,1,38.56984785,-121.4737052
4740 BECKET WAY, PC  BURGLARY RESIDENCE,1/1/2006 1:06,1,1,38.46518116,-121.4461653
CALVINE RD / CENTER PKWY,(D) PC BATT/CIVILIAN W/INJ,1/1/2006 1:30,1,1,38.4497213,-121.4258719
6625 VALLEY HI DR,(A)VC TAKE VEH W/O OWNER,1/1/2006 1:30,1,1,38.47143667,-121.427615
RAINBOW AVE / HOWE AVE, PC NEGL DISCH FIREARM,1/1/2006 1:51,1,1,38.61972226,-121.4152799
2500 FLORIN RD,(A) PC GRAND THEFT,1/1/2006 2:00,1,2,38.49570962,-121.477826
3012 ALBATROSS WAY,CASUALTY REPORT,1/1/2006 2:09,1,2,38.62070956,-121.4226958
1426 BREWERTON DR, PC SHOOT OCCUP DWELL/VEH,1/1/2006 2:10,1,2,38.61488957,-121.4934272
FRONT ST / K ST,LOST PROPERTY - I RPT,1/1/2006 2:14,1,2,38.58239328,-121.5059336
3807 24TH AVE,CASUALTY REPORT,1/1/2006 2:30,1,2,38.53116122,-121.4661214
EMPRESS ST / ARDEN WAY, HS POSS SALE RCK COCAI,1/1/2006 2:40,1,2,38.60641085,-121.4473501
1415 L ST, PC  ROBBERY UNSPECIFIED,1/1/2006 2:40,1,2,38.57682477,-121.4882896
2737 SCREECH OWL WAY,(B)()(A) VANDALISM/ -$,1/1/2006 2:47,1,2,38.63207451,-121.5287747
1900 CANTERBURY RD,(E) BATTERY NONCOHAB SPOUS,1/1/2006 2:54,1,2,38.60108154,-121.456171
7769 AMHERST ST,(A)VC TAKE VEH W/O OWNER,1/1/2006 3:00,1,3,38.47489873,-121.4996944
100 ROCKMONT CIR,(B)()(A) VANDALISM/ -$,1/1/2006 3:00,1,3,38.67510292,-121.5226753
8032 TORRENTE WAY, PC  BURGLARY RESIDENCE,1/1/2006 3:28,1,3,38.46594742,-121.4513773
POWER INN RD / ELDER CREEK RD,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 3:30,1,3,38.51055016,-121.409083
1125 ALHAMBRA BLVD,(C) PASS FORGED NOTE,1/1/2006 3:52,1,3,38.570664,-121.465448
4128 NORWOOD AVE,(A)() AWDW/FIREARM/CIVILIA,1/1/2006 4:00,1,4,38.6432324,-121.4563115
HONOR PKWY / REGENCY PARK CIR,(A)HS POSS AMPHETAMINES,1/1/2006 4:00,1,4,38.67318557,-121.5035491
3 CLOE CT,(A) GRAND THEFT-INSIDE,1/1/2006 4:00,1,4,38.66695301,-121.5088707
8454 COEBURN ST, PC  BURGLARY VEHICLE,1/1/2006 4:00,1,4,38.45025842,-121.443044
5620 34TH AVE, PC  BURGLARY VEHICLE,1/1/2006 4:00,1,4,38.52337984,-121.4378491
BROADWAY / 16TH ST,TRAFFIC-ACCIDENT-NON INJURY,1/1/2006 4:15,1,4,38.56159185,-121.4923822
1414 43RD ST, PC   PETTY THEFT/INSIDE,1/1/2006 4:15,1,4,38.56438552,-121.4516767
FLORIN RD / MUNSON WAY,TOWED/STORED VEH-,1/1/2006 4:20,1,4,38.49603233,-121.4619674
1 CLAUSS CT,(A)VC TAKE VEH W/O OWNER,1/1/2006 4:30,1,4,38.52967087,-121.4469794
MACK RD / CENTER PKWY,(A) HIT/RUN,1/1/2006 5:14,1,5,38.47425283,-121.4368769
1426 I ST, WI DANGER SELF/OTHERS,1/1/2006 5:22,1,5,38.57941421,-121.4864344
MACK RD / CENTER PKWY,TOWED/STORED VEHICLE,1/1/2006 6:00,1,6,38.47425283,-121.4368769
1236 EL ENCANTO WAY,(A) PC GRAND THEFT,1/1/2006 6:00,1,6,38.49714012,-121.5136898
2801 L ST,IMPOUNDED VEHICLE,1/1/2006 6:10,1,6,38.57201606,-121.4692575
2884 DEL PASO BLVD,(A)VC TAKE VEH W/O OWNER,1/1/2006 6:27,1,6,38.61859754,-121.4382569
J ST / 29TH ST,(A) HIT/RUN,1/1/2006 6:46,1,6,38.57348427,-121.4678719
